ticker,name,sector,asset_type,current_price,market_cap,revenue,net_income,total_equity,net_debt,roe,net_margin,debt_ebitda,ev_ebitda,net_income_growth_yoy,pe_ratio,pb_ratio,dividend_yield,dividend_growth_yoy,score,score_label
KROT4,COGNA PN N2,Diversos,stock,512.0,10569000000.0,7535160000.0,671857000.0,13601200000.0,5331090000.0,0.49,0.84,,,,,78.0,0.0,,52.5,Bom
KRSA3,KORA SAUDE ON NM,Serv.Méd.Hospit. Análises e Diagnósticos,stock,887.0,685960000.0,2439710000.0,-448832000.0,271014000.0,3185310000.0,,-1.9,,,,-153.0,,0.0,,19.0,Fraco
KSSA3,KLABINSEGALL ON NM,Construção Civil,stock,533.0,776612000.0,848076000.0,52972000.0,553026000.0,923933000.0,0.96,0.84,,,,,,0.0,,52.5,Bom
LAME3,LOJAS AMERICANAS S.A. ON,Comércio,stock,662.0,12465500000.0,25896600000.0,587572000.0,6514640000.0,6610070000.0,0.9,0.25,,,,,,0.0,,52.5,Bom
LAME4,LOJAS AMERICANAS S.A. PN,Comércio,stock,655.0,12333700000.0,25896600000.0,587572000.0,6514640000.0,6610070000.0,0.9,0.25,,,,,,0.0,,52.5,Bom
LAND3,TERRASANTAPA ON NM,Agropecuária,stock,840.0,808307000.0,97147000.0,3292000.0,666441000.0,69919000.0,0.05,0.34,,,-0.674167,,,0.0,,43.75,Regular
LATS3,REXAM BEVERAGE CAN SOUTH AMERICA ON,,stock,2200.0,0.0,982323000.0,12527000.0,680646000.0,146238000.0,0.18,0.13,,127.0,,,,0.0,,55.38,Bom
LAVV3,LAVVI ON NM,Construção Civil,stock,1150.0,2247490000.0,1799730000.0,397060000.0,1367560000.0,476633000.0,2.9,,,,0.533201,,,,,67.5,Bom
LCAM3,LOCAMERICA ON NM,Diversos,stock,2415.0,60827900000.0,7955350000.0,1463570000.0,10845400000.0,-2589550000.0,1.35,,,,,,,0.0,,52.5,Bom
LCSA3,NÃO CONSTA ON,,stock,1250.0,30665700000.0,1079590000.0,-255053000.0,-377568000.0,130539000.0,,,,,,,,0.0,,44.0,Regular
LCSA4,NÃO CONSTA PN,,stock,3509.0,86084700000.0,1079590000.0,-255053000.0,-377568000.0,130539000.0,,,,,,,,0.0,,44.0,Regular
LECO4,LECO PN,,stock,146.0,211700000.0,332595000.0,-15702000.0,105928000.0,21389000.0,-1.48,-0.47,,,,,,0.0,,24.0,Fraco
LETO3,MITTO ON,Siderurgia e Metalurgia,stock,80.0,3203160.0,0.0,-9996000.0,-58642000.0,2281000.0,1.7,0.0,,,,-32.0,,0.0,,47.75,Regular
